,Title,Date,State,Total Deaths,full place name
10192,Delta Gov’s aide shot dead in Sapele,2/20/21,Delta,1,"Sapele, Delta, Nigeria"
10193,"Four Killed, One Injured In Kajuru LGA",2/20/21,Kaduna,4,"Kajuru, Kaduna, Nigeria"
10194,"Again, Bandits Kill 9, Abduct 17 In Niger State",2/20/21,Niger,9,"Shiroro, Niger, Nigeria"
10195,"Bandits kill 2, kidnap 9 in Kaduna",2/20/21,Kaduna,2,"Igabi, Kaduna, Nigeria"
10196,"Terrorists kill one, kidnap 10 in Katsina",2/20/21,Katsina,1,"Safana, Katsina, Nigeria"
10197,"Bandits attack Kaduna community, raze church, houses",2/21/21,Kaduna,0,"Kajuru, Kaduna, Nigeria"
10198,"Gunmen kidnap Rivers monarch, four others",2/21/21,Rivers,0,"Andoni/O, Rivers, Nigeria"
10199,"Three feared dead, others injured as NURTW, Park managers clash in Oyo",2/21/21,Oyo,3,"IbadanNorth, Oyo, Nigeria"
10200,Four killed in Ibadan market,2/21/21,Oyo,4,"IbadanNorth, Oyo, Nigeria"
10201,Boko Haram Kills 6 IDPs In Borno,2/21/21,Borno,6,"Damboa, Borno, Nigeria"
10202,"Gunmen kill meat seller, injure another in Sapele",2/21/21,Delta,1,"Sapele, Delta, Nigeria"
10203,"Scores Killed As Boko Haram, ISWAP Terrorists Battle For Supremacy",2/21/21,Borno,40,"Mobbar, Borno, Nigeria"
10204,25 killed in Ebonyi communal clashes,2/22/21,Ebonyi,25,"Ohaukwu, Ebonyi, Nigeria"
10205,Gunmen kill two policemen in A’Ibom,2/22/21,Akwa Ibom,2,"Essien-U, Akwa Ibom, Nigeria"
10206,Cultists kill bricklayer in Delta,2/22/21,Delta,1,"Ndokwa West, Delta, Nigeria"
10207,Police confirms kidnapping of farmer’s son in Ibadan,2/22/21,Oyo,0,"IbadanNorth, Oyo, Nigeria"
10208,"Gunmen kill three, kidnap nine women in Katsina",2/23/21,Katsina,3,"Sabuwa, Katsina, Nigeria"
10209,16 Killed As Rocket Hits Maiduguri,2/23/21,Borno,16,"Maidugur, Borno, Nigeria"
10210,Suspected Herdsmen Burn Three Alive In Edo,2/23/21,Edo,3,"Ikpoba-Okha, Edo, Nigeria"
10211,"One policeman, one civilian killed, two injured in bullion van attack",2/23/21,Delta,1,"AniochaN, Delta, Nigeria"
10212,Armed Bandits Attack Manta Village In Niger,2/23/21,Niger,0,"Shiroro, Niger, Nigeria"
10213,"Marte: Troops Beat 48-hour Ultimatum, Kill 14 Terrorists",2/23/21,Borno,14,"Marte, Borno, Nigeria"
10214,"Attack On Police Station: Police Kill 4, Arrest 8 while 2 Police Officers Killed",2/23/21,Abia,6,"Osisioma Ngwa, Abia, Nigeria"
10215,Rampaging bandits kill 7 in Igabi; bandits neutralized,2/23/21,Kaduna,17,"Igabi, Kaduna, Nigeria"
10216,"Rampaging bandits kill 8, kidnap some in Chikun ",2/23/21,Kaduna,8,"Chikun, Kaduna, Nigeria"
