,Title,Date,State,Total Deaths,full place name
4173,"Another officer dies, eight injured after Boko Haram ambush Nigerian soldiers",11/14/16,Borno,2,"Gwoza, Borno, Nigeria"
4174,"Boko Haram attacks Borno community, kills 13",11/15/16,Borno,13,"Monguno, Borno, Nigeria"
4175,"Militants bomb Oando, Shell, Agip Oil trunk lines in Bayelsa",11/15/16,Bayelsa,0,"Nembe, Bayelsa, Nigeria"
4176,"Gunmen storm Niger, kill 6, steal “700” cattle",11/16/16,Niger,6,"Shiroro, Niger, Nigeria"
4177,Cleric kidnapped on Kaduna-Jos road,11/16/16,Kaduna,0,"Lere, Kaduna, Nigeria"
4178,"One Killed, Others Injured as Political Thugs Clash in Kano",11/16/16,Kano,1,"Kano Municipal, Kano, Nigeria"
4179,Gunmen abduct 2 wives of Nasarawa State commissioner,11/17/16,Nasarawa,0,"Nasarawa, Nasarawa, Nigeria"
4180,Police confirm 6 deaths in Maiduguri multiple explosions,11/18/16,Borno,6,"Maiduguri, Borno, Nigeria"
4181,Armed bandits kill 29 in Zamfara,11/18/16,Zamfara,29,"Maradun, Zamfara, Nigeria"
4182,"Armed bandits kill 6, kidnap 40 in Zamfara",11/18/16,Zamfara,6,"Maru, Zamfara, Nigeria"
4183,5 more persons kidnapped in Kuje council,11/19/16,Federal Capital Territory,0,"Kuje, Federal Capital Territory, Nigeria"
4184,Another suicide bomber shot dead while targeting IDPs,11/19/16,Borno,1,"Maiduguri, Borno, Nigeria"
4185,Nigerian Army kills 7 boko Haram terrorists in fresh attack,11/19/16,Borno,7,"Kukawa, Borno, Nigeria"
4186,"Many feared killed, several injured as Nigerian soldiers, Boko Haram battle in Borno",11/19/16,Borno,11,"Bama, Borno, Nigeria"
4187,Female principal kidnapped in Rivers,11/19/16,Rivers,0,"Asari-Toru, Rivers, Nigeria"
4188,"Zamfara: Bandits kill 2 policemen, 23 others in fresh attack",11/19/16,Zamfara,25,"Zurmi, Zamfara, Nigeria"
4189,Two feared killed in Igbira/Bassa chieftaincy tussle,11/19/16,Nasarawa,2,"Toto, Nasarawa, Nigeria"
4190,"3 kidnapped as Ijaw, Urhobo clash in Warri South worsens",11/20/16,Delta,0,"Warri South West, Delta, Nigeria"
4191,Gunmen kidnap ex-Nigerian minister,11/20/16,Kaduna,0,"Kaduna South, Kaduna, Nigeria"
4192,"Police, armed robbers in gun duel in Imo",11/20/16,Imo,0,"Owerri Municipal, Imo, Nigeria"
4193,10 feared dead in Cross River communal clash,11/20/16,Cross River,10,"Abi, Cross River, Nigeria"
4194,Police confirm death of 3 persons in Suleja skirmish,11/21/16,Niger,3,"Chanchaga, Niger, Nigeria"
4195,Six Cameroonian Troops Killed In Boko Haram Attack,11/21/16,Extrême-Nord,7,"Logone et Chari, Extrême-Nord, Nigeria"
4196,Cameroonian troops kill Boko Haram suicide bomber,11/21/16,Extrême-Nord,1,"Mayo Sava, Extrême-Nord, Nigeria"
4197,Gunmen kill 4 NSCDC men guarding oil facilities,11/21/16,Rivers,4,"Ogba/Egbema/Ndoni, Rivers, Nigeria"
4198,Two brothers killed in ambush at Abaji village,11/21/16,Federal Capital Territory,2,"Abaji, Federal Capital Territory, Nigeria"
4199,Suspected cultists gun down UniAbuja student,11/22/16,Federal Capital Territory,1,", Federal Capital Territory, Nigeria"
4200,"11 reportedly killed as police, hunters clash in Ibadan",11/22/16,Oyo,11,"Ona Ara, Oyo, Nigeria"
4201,Two killed in suicide attack outside Maiduguri motor park,11/23/16,Borno,2,"Maiduguri, Borno, Nigeria"
4202,"Five Nigerian Soldiers Dead, Four Injured In Boko Haram Attack",11/23/16,Borno,5,"Askira/Uba, Borno, Nigeria"
4203,"Fulani Herdsmen Kill 8, Injure 5 in Katsina",11/23/16,Katsina,8,"Sabuwa, Katsina, Nigeria"
4204,Two girl Boko Haram suicide bombers attack north Cameroon town,11/24/16,Extrême-Nord,2,"Mayo Sava, Extrême-Nord, Nigeria"
4205,JTF raids militants’ camp in Delta,11/24/16,Delta,,"Burutu, Delta, Nigeria"
4206,Fresh attack in Kaduna village claims four lives,11/25/16,Kaduna,4,"Jema'a, Kaduna, Nigeria"
4207,2 Killed in Edo Cult War,11/26/16,Edo,2,"Etsako West, Edo, Nigeria"
4208,Nigerian troops on patrol caught in IED explosion in Borno,11/26/16,Borno,0,"Bama, Borno, Nigeria"
4209,Troops Kill 30 Terrorists In Failed Ambush,11/26/16,Borno,30,"Bama, Borno, Nigeria"
4210,Gunmen kill Anambra oil magnate’s aide,11/26/16,Anambra,1,"Njikoka, Anambra, Nigeria"
4211,"Militants invade Lagos community, kidnap 7",11/27/16,Lagos,0,"Epe, Lagos, Nigeria"
4212,Niger Delta militants claim attack on state-owned NNPC's oil pipeline,11/27/16,Delta,0,"Ughelli South, Delta, Nigeria"
4213,40 Killed in Communal Clash in Kogi,11/28/16,Kogi,40,"Bassa, Kogi, Nigeria"
4214,"Gunmen kill Chinese miner, 3 others in Nasarawa",11/28/16,Nasarawa,4,"Nasarawa Egon, Nasarawa, Nigeria"
4215,Nigerian journalist kidnapped,11/25/16,Benue,0,"Makurdi, Benue, Nigeria"
4216,"Police Kill Three, Foil Attack On Plane",11/28/16,Rivers,3,"Port Harcourt, Rivers, Nigeria"
4217,Mob set 2 robbers ablaze for killing motorcyclist,11/29/16,Imo,3,"Owerri West, Imo, Nigeria"
4218,10 feared dead as armed men storm two Imo communities ,12/1/16,Imo,10,"Ohaji/Egbema, Imo, Nigeria"
4219,"Gunmen attack Kaduna Senator, Shehu Sani’s campaign office",12/3/16,Kaduna,0,"Kaduna South, Kaduna, Nigeria"
4220,One Killed In Ebonyi Communal Clash,12/3/16,Ebonyi,1,"Ikwo, Ebonyi, Nigeria"
4221,"Robbers kill retired police officer, wife, two others",12/3/16,Taraba,4,"Takum, Taraba, Nigeria"
4222,"Nigerian troops, Boko Haram in fierce battle in Borno, many killed, several injured",12/4/16,Borno,14,"Kukawa, Borno, Nigeria"
4223,Boko Haram suffers heavy casualties in Borno,12/5/16,Borno,22,"Bama, Borno, Nigeria"
4224,Armed Intruder Kills APC’s Abia Senatorial Candidate In Lagos,12/1/16,Lagos,1,"Ikorodu, Lagos, Nigeria"
4225,"Gunmen invade sports viewing centre, kill man in Benin",12/6/16,Edo,1,"Oredo, Edo, Nigeria"
4226,"20 injured as PDP, APC supporters clash in Abia",12/7/16,Abia,0,"Obi Ngwa, Abia, Nigeria"
4227,"Two soldiers injured as Udu, Ughievwen youths clash in Delta state over boundary dispute",12/8/16,Delta,0,"Ughelli South, Delta, Nigeria"
4228,"56 Killed, 177 Injured In Madagali Market Blasts",12/9/16,Adamawa,58,"Madagali, Adamawa, Nigeria"
4229,RiversRerun: Two killed in Gokana,12/10/16,Rivers,2,"Gokana, Rivers, Nigeria"
4230,APC youth killed in Emohua,12/10/16,Rivers,1,"Emuoha, Rivers, Nigeria"
4231,Gunmen Invade Amaechi's Village Hijack Electoral Material,12/10/16,Rivers,0,"Ikwerre, Rivers, Nigeria"
4232,Three die as police raid Bauchi kidnappers’ den,12/10/16,Bauchi,3,"Ganjuwa, Bauchi, Nigeria"
4233,"Rivers Rerun Election: Police DSP Killed,Orderly beheaded, 5 Officers missing",12/10/16,Rivers,2,"Ogba/Egbema/Ndoni, Rivers, Nigeria"
4234,Two girl suicide bombers kill at least 7 in Nigeria's Maiduguri,12/11/16,Borno,9,"Maiduguri, Borno, Nigeria"
4235,"Gunmen attack bank, steal millions in Imo",12/9/16,Imo,0,"Isiala Mbano, Imo, Nigeria"
4236,Suspected Boko Haram terrorists kill another Nigerian Lieutenant Colonel,12/12/16,Borno,2,"Guzamala, Borno, Nigeria"
4237,Benue: Former Ogbadibo council boss kidnapped,12/12/16,Benue,0,"Ogbadibo, Benue, Nigeria"
4238,Nigerian Army commandant found dead in Ibadan,12/12/16,Oyo,1,"Ibadan South-West, Oyo, Nigeria"
4239,"Gunmen Attacked Kaduna Village, Killed 15, Injured Others",12/14/16,Kaduna,15,"Chikun, Kaduna, Nigeria"
4240,"Gunshots, Confusion In Borno As Soldiers Fighting Boko Haram Go On Rampage Against Superior Officers",12/16/16,Borno,,"Gwoza, Borno, Nigeria"
4241,Police officer clubbed to death in Enugu,12/17/16,Enugu,1,"Enugu South, Enugu, Nigeria"
4242,20 killed in Taraba,12/18/16,Taraba,20,"Gassol, Taraba, Nigeria"
4243,"Attackers kidnap 17 fishermen, kill one in Borno",12/18/16,Borno,1,", Borno, Nigeria"
4244,Two suicide bombers killed in Maiduguri,12/18/16,Borno,2,"Maiduguri, Borno, Nigeria"
4245,"Gunmen kill two, kidnap one in Rivers",12/18/16,Rivers,2,"Ogba/Egbema/Ndoni, Rivers, Nigeria"
4246,Cultists kill policeman in Ondo,12/18/16,Ondo,1,"Akure South, Ondo, Nigeria"
4247,5 Killed As Rival Cult Group Clash,12/18/16,Osun,5,"Osogbo, Osun, Nigeria"
4248,Gunmen kill Okada rider in Delta,12/18/16,Delta,1,"Isoko North, Delta, Nigeria"
4249,Another public official murdered in Ekiti,12/19/16,Ekiti,1,"Ado Ekiti, Ekiti, Nigeria"
4250,"Police gun down 4 kidnappers, rescue doctor",12/16/16,Lagos,4,"Lagos State, Lagos, Nigeria"
4251,"7 more killed as as Fulani, Tiv Crisis Escalates",12/19/16,Taraba,7,"Gassol, Taraba, Nigeria"
4252,"Gunmen abduct Catholic priest, demand N20m",12/16/16,Delta,0,"Aniocha South, Delta, Nigeria"
4253,"One killed, as cults clash in Delta",12/19/16,Delta,1,"Oshimili North, Delta, Nigeria"
4254,Policeman kills driver for refusing to give bribe,12/20/16,Osun,1,"Egbedore, Osun, Nigeria"
4255,Customs officer kidnapped in front of Lagos eatery,12/21/16,Lagos,0,"Lagos State, Lagos, Nigeria"
4256,Armed bandits kill aged couple in Ilorin,12/21/16,Kwara,2,"Ilorin South, Kwara, Nigeria"
4257,"Panic as gunmen abduct council chairman, shoot commissioner",12/22/16,Plateau,1,"Langtang South, Plateau, Nigeria"
4258,Gunmen Kidnap 3 Female Passengers Traveling In A Bus Owned By God Is Good Motors,12/22/16,Federal Capital Territory,0,", Federal Capital Territory, Nigeria"
4259,Troops kill two female suicide bombers in Borno,12/22/16,Borno,2,"Gwoza, Borno, Nigeria"
4260,Troops kill two female suicide bombers in Borno,12/22/16,Borno,2,"Mafa, Borno, Nigeria"
4261,"Robbers snatch police van, kill one in Ekiti",12/22/16,Ekiti,1,"Oye, Ekiti, Nigeria"
4262,Nigeria's Buhari says army has captured key Boko Haram camp,12/23/16,Borno,,"Gwoza, Borno, Nigeria"
4263,"Nigeria policeman kills colleague, student over disagreement on money",12/23/16,Kaduna,1,"Zaria, Kaduna, Nigeria"
4264,Gunmen kill eight in Rivers,12/24/16,Rivers,8,"Ogba/Egbema/Ndoni, Rivers, Nigeria"
4265,Gunmen kidnap wife of PDP’s chieftain in Asaba,12/24/16,Delta,0,"Oshimili South, Delta, Nigeria"
4266,Suicide bomber in Cameroon kills two in attack on Christmas market,12/25/16,Extrême-Nord,3,"Mayo Sava, Extrême-Nord, Nigeria"
4267,Death toll in Kaduna killings hits 11,12/25/16,Kaduna,11,"Jema'a, Kaduna, Nigeria"
4268,"Cattle rustlers kill herdsman, push corpse into lagoon",12/25/16,Delta,1,"Ndokwa West, Delta, Nigeria"
4269,"Gunmen kill woman, four grandchildren on Christmas Day",12/25/16,Delta,5,"Aniocha North, Delta, Nigeria"
4270,Two killed as female suicide bombers attack Maiduguri cattle market,12/26/16,Borno,2,"Maiduguri, Borno, Nigeria"
4271,Robbers Attack Nigerian Musician Kiss Daniel In Calabar Christmas Village,12/26/16,Cross River,0,"Calabar Municipal, Cross River, Nigeria"
4272,"One killed, 3 injured as gunmen attack APC chieftain",12/28/16,Taraba,1,"Ibi, Taraba, Nigeria"
4273,"Two killed, Enugu mosque burnt as Igbo, Fulani clash",12/28/16,Enugu,2,"Enugu South, Enugu, Nigeria"
4274,Troops Kill 15 Boko Haram Terrorists,12/30/16,Borno,15,"Kala/Balge, Borno, Nigeria"
4275,Teenage female suicide bomber killed in Maiduguri blast,12/31/16,Borno,1,"Maiduguri, Borno, Nigeria"
4276,Kano businessman abducted in Okene,12/30/16,Kogi,0,"Okene, Kogi, Nigeria"
4277,"Gunmen abduct Kogi traditional ruler, demand N20m ransom",12/31/16,Kogi,0,"Lokoja, Kogi, Nigeria"
4278,Army repel Boko Haram attack in Adamawa,1/3/17,Adamawa,0,"Madagali, Adamawa, Nigeria"
4279,"3 female suicide bombers shot dead in Adamawa
",1/4/17,Adamawa,3,"Madagali, Adamawa, Nigeria"
4280,Army ‘kills 5 suspected cultists’ in Rivers,1/3/17,Rivers,7,"Ogba/Egbema/Ndoni, Rivers, Nigeria"
4281,Two Persons Killed In Armed Attack On Swali Market In Yenagoa,1/3/17,Bayelsa,2,"Yenagoa, Bayelsa, Nigeria"
4282,"5 Killed in fresh herders, farmers clash in Benue",1/3/17,Benue,5,"Okpokwu, Benue, Nigeria"
4283,15 beheaded by Boko Haram sect in Borno,12/30/16,Borno,15,"Mobbar, Borno, Nigeria"
4284,"Gunmen behead 1, 2 injured, missing in Delta",1/6/17,Delta,1,"Warri South West, Delta, Nigeria"
4285,"Boko Haram attacks military location in Damaturu, kills captain, 6 Soldiers",1/7/17,Yobe,21,"Gujba, Yobe, Nigeria"
4286,"5 police officers and scores of villagers killed, one abducted as herdsmen attack Adamawa",1/8/17,Adamawa,45,"Demsa, Adamawa, Nigeria"
4287,Five suicide bombers kill 8 in Maiduguri,1/8/17,Borno,8,"Maiduguri, Borno, Nigeria"
4288,Suspected Fulani herdsmen kill five Delta farmers,1/4/17,Delta,5,"Ukwuani, Delta, Nigeria"
4289,"Herdsmen Kill 19 Year Old Boy, Injured 15 Others In Niger State",1/8/17,Niger,1,"Shiroro, Niger, Nigeria"
4290,Gunmen kill university don in Benue,1/9/17,Benue,1,"Makurdi, Benue, Nigeria"
4291,"4 die in herdsmen, farmers clash",1/10/17,Niger,4,"Bosso, Niger, Nigeria"
4292,Police Kill 2 Suspected Armed Robbers In Kano State,1/11/17,Kano,2,"Bebeji, Kano, Nigeria"
4293,Two soldiers feared killed in fresh Boko Haram ambush,1/12/17,Borno,2,"Damboa, Borno, Nigeria"
4294,"Police Inspector, NSCDC officer, civilian killed in renewed clash in Niger",1/12/17,Niger,3,"Bosso, Niger, Nigeria"
4295,"Boko Haram Attacks Madagali, 11 Killed, 14 Injured",1/13/17,Adamawa,11,"Madagali, Adamawa, Nigeria"
4296,"3 soldiers, 10 terrorists died in Boko Haram reprisal attack",1/13/17,Borno,13,"Kukawa, Borno, Nigeria"
4297,"Turkish teachers, three pupils kidnapped in Ogun international school",1/13/17,Ogun,0,"Ifo, Ogun, Nigeria"
4298,Gunmen Kill Nigerian-American Returnee,1/12/17,Imo,1,"Mbaitoli, Imo, Nigeria"
4299,Gunmen Abduct Malaysia-Based Nigerian,1/14/17,Imo,0,"Ideato North, Imo, Nigeria"
4300,Gunmen kill 10 C-JTF members in Benue,1/15/17,Benue,10,"Katsina-Ala, Benue, Nigeria"
4301,"Police foil kidnap of Ondo monarch’s wife, kills one",1/15/17,Ondo,1,"Okitipupa, Ondo, Nigeria"
4302,"One shot in fresh Ogbe-Ijoh, Aladja gun battle",1/15/17,Delta,0,"Warri South West, Delta, Nigeria"
4303,"Police, NSCDC officers, 7 others killed in Niger community",1/15/17,Niger,9,"Bosso, Niger, Nigeria"
4304,Boko Haram Bomb Mosque At The University Of Maiduguri,1/16/17,Borno,5,"Maiduguri, Borno, Nigeria"
4305,"Police confirm kidnap of finance director, 3 others in Sokoto",1/16/17,Sokoto,0,"Isa, Sokoto, Nigeria"
4306,4 bandits die in gun battle with police,1/16/17,Kaduna,3,"Jere, Kaduna, Nigeria"
4307,10 dead as C-River communities go to war over human head for chief’s burial,1/15/17,Cross River,10,"Obubra, Cross River, Nigeria"
4308,"Nigeria Airforce Bombs Refugee Camp, Kills At Least 200",1/17/17,Borno,236,"Kala/Balge, Borno, Nigeria"
4309,Nigerian soldiers kill 13 Boko Haram members in Borno,1/13/17,Borno,13,"Dikwa, Borno, Nigeria"
4310,"Jigawa village head, brother kidnapped",1/17/17,Jigawa,0,"Gwaram, Jigawa, Nigeria"
4311,3 feared dead in fresh Southern Kaduna violence,1/17/17,Kaduna,3,"Zangon Kataf, Kaduna, Nigeria"
4312,"5 dead as perennial A-Ibom, C-River community war escalates",1/17/17,Akwa Ibom,5,"Itu, Akwa Ibom, Nigeria"
4313,"4 injured as herdsmen, farmers clash in Anambra",1/17/17,Anambra,0,"Ogbaru, Anambra, Nigeria"
4314,NPDC crude oil pipeline set ablaze in Delta,1/18/17,Delta,0,"Ughelli South, Delta, Nigeria"
4315,"24 injured, as Kano traffic officials clash with NURTW",1/18/17,Kano,0,"Kano Municipal, Kano, Nigeria"
4316,Gunmen invade popular entertainment joint in Onitsha,1/19/17,Anambra,0,"Onitsha South, Anambra, Nigeria"
4317,11 IPOB supporters reportedly killed during pro-Trump rally,1/20/17,Rivers,11,"Port Harcourt, Rivers, Nigeria"
4318,Nigerian troops kill 15 Boko Haram fighters in anti-terror operation,1/19/17,Borno,15,"Kala/Balge, Borno, Nigeria"
4319,"One person feared dead, others seriously injured as Delta community comes under attack",1/20/17,Delta,1,"Udu, Delta, Nigeria"
4320,"Police kill one, arrest three kidnappers of Malaysia-based man",1/20/17,Imo,1,"Ideato North, Imo, Nigeria"
4321,Gunmen on tricycle ‘abduct Borno council chairman,1/20/17,Borno,0,"Maiduguri, Borno, Nigeria"
4322,"Benue community boils as hunter kills pastor, injures three others",1/20/17,Benue,1,"Okpokwu, Benue, Nigeria"
4323,"Boko Haram attacks Borno again, scores feared killed",1/28/17,Borno,7,"Konduga, Borno, Nigeria"
4324,"Police confirm one killed, 11 houses burnt in Taraba communal clash",1/27/17,Taraba,7,"Lau, Taraba, Nigeria"
4325,Kidnappers demand N10m ransom for Catholic priest,1/27/17,Delta,,"Ethiope East, Delta, Nigeria"
4326,Boko Haram kills two soldiers in Niger,1/20/17,Diffa,2,"Diffa, Diffa, Nigeria"
4327,"LG Chairman Kidnapped by Unknown Police Officers In Borno

",1/20/15,Borno,,"Maiduguri, Borno, Nigeria"
4328,"Nigeria group: 20 die, many missing after pro-Trump rally",1/20/17,Rivers,,", Rivers, Nigeria"
4329,Police shoot two UniOsun students,1/20/17,Osun,2,"Osogbo, Osun, Nigeria"
4330,3 killed in Ebonyi/Cross River boundary clash,1/20/17,Ebonyi,3,"Abakaliki, Ebonyi, Nigeria"
4331,"Suspected attackers from Kaduna kill herdsman in Plateau
",1/21/17,Plateau,1,"Riyom, Plateau, Nigeria"
4332,"13-year-old killed, as unknown gunmen attack village in Kaduna
",1/21/17,Kaduna,1,"Kaura, Kaduna, Nigeria"
4333,"Gunmen attack police station, kill officer, cart away arms",1/22/17,Plateau,,"Kanam, Plateau, Nigeria"
4334,"Suspected Fulani herdsmen abduct ex-council chair, two others",1/22/17,Federal Capital Territory,,", Federal Capital Territory, Nigeria"
4335,"50 houses burnt down in communal clash in Taraba
",1/22/17,Taraba,,"Sardauna, Taraba, Nigeria"
4336,Many Feared Dead In Fresh Herdsmen Attack On Benue Village,1/22/17,Benue,15,"Ohimini, Benue, Nigeria"
4337,"5 College of Education students killed in Southern Kaduna

",1/22/17,Kaduna,5,"Jema'a, Kaduna, Nigeria"
4338,"Military task force kills 2 suspected militants in Bayelsa

",1/23/17,Bayelsa,2,", Bayelsa, Nigeria"
4339,"Boko Haram kills 3, ‘abducts women’ in Borno village",1/23/17,Borno,8,"Askira/Uba, Borno, Nigeria"
4340,JFT kills suicide bomber,1/25/17,Borno,1,"Maiduguri, Borno, Nigeria"
4341,2 Female Suicide Bombers Killed,1/25/17,Borno,3,"Mafa, Borno, Nigeria"
4342,"Herdsmen engage Delta Police team in gun battle

",1/22/17,Delta,,"Ughelli North, Delta, Nigeria"
4343,Heavy gunfire in Yobe as Army foils Boko Haram’s attempt to capture military base,1/25/17,Yobe,13,"Biu, Yobe, Nigeria"
4344,"Akwa Ibom Village Head assassinated

",1/24/17,Akwa Ibom,1,"Ukanafun, Akwa Ibom, Nigeria"
4345,"Many feared dead as C-River, Benue communities clash over farmland
",1/21/17,Benue,10,"Kwande, Benue, Nigeria"
4346,One confirmed dead as gunmen storm Zamfara community,1/26/17,Zamfara,1,", Zamfara, Nigeria"
4347,"20 feared dead as Boko Haram opens fire on motorists in Maiduguri
",1/28/17,Borno,20,"Damboa, Borno, Nigeria"
4348,"8 killed, 11 houses burnt in Taraba communal clash",1/28/17,Taraba,8,"Lau, Taraba, Nigeria"
4349,"Gunmen kidnap Catholic priest in Delta, demand N10m as ransom",1/27/17,Delta,0,"Sapele, Delta, Nigeria"
4350,"Police foil robbery attempt, kill one in Kano",1/29/17,Kano,1,"Bichi, Kano, Nigeria"
4351,"Abia gov’s aide abducted, killed in Imo",1/29/17,Abia,1,"Owerri Municipal, Abia, Nigeria"
4352,Gunmen abduct female lecturer in Rivers,1/29/17,Rivers,0,"Khana, Rivers, Nigeria"
4353,Varsity lecturer kidnapped in Akwa Ibom,1/30/17,Akwa Ibom,0,"Mkpat-Enin, Akwa Ibom, Nigeria"
4354,Suspected robbers attack bank in Port Harcourt,1/30/17,Rivers,0,"Port Harcourt, Rivers, Nigeria"
4355,Two dead as suicide bomber attacks mosque,1/31/17,Borno,2,"Maiduguri, Borno, Nigeria"
4356,"Fresh violence erupts in Taraba, 10 killed",1/31/17,Taraba,10,"Lau, Taraba, Nigeria"
4357,"3 die in Adamawa herdsmen, farmers’ clash",1/31/17,Adamawa,3,", Adamawa, Nigeria"
4358,"Gunmen attack UN team in Nigeria, kill 5",1/31/17,Adamawa,5,"Faro et Déo, Adamawa, Nigeria"
4359,"Army loses three soldiers, but kills six insurgents",2/1/17,Borno,9,"Damboa, Borno, Nigeria"
4360,"Chaos breaks out in Plateau, six killed as illegal miners clash",2/1/17,Plateau,10,"Jos South, Plateau, Nigeria"
4361,"Boko Haram ambush kills one policeman, injures another in Borno",1/31/17,Borno,1,"Damboa, Borno, Nigeria"
4362,"Again, herdsmen attack farmer in Enugu, Police confirms",2/2/17,Enugu,0,"Ezeagu, Enugu, Nigeria"
4363,Man killed in renewed attack at Plateau mining site,2/4/17,Plateau,1,"Jos South, Plateau, Nigeria"
4364,Gunmen shoot police officer,2/5/17,Ondo,0,"Okitipupa, Ondo, Nigeria"
4365,"Nine killed as Ebonyi, Cross River communities battle over land",2/5/17,Ebonyi,9,"Abakaliki, Ebonyi, Nigeria"
4366,Gunmen kidnap six Onitsha bound traders in Kogi,2/6/17,Kogi,0,"Okene, Kogi, Nigeria"
4367,Troops intercept two female suicide bombers in Borno,2/7/17,Borno,1,"Maiduguri, Borno, Nigeria"
4368,"Pirates kidnap seven Russians, one Ukrainian in Nigerian waters",2/7/17,Bayelsa,0,"Brass, Bayelsa, Nigeria"
4369,2 feared dead in Yobe terrorist attack,2/6/17,Yobe,2,"Damaturu, Yobe, Nigeria"
4370,7 injured as task force clashes with timber dealers in Calabar,2/7/17,Cross River,0,"Calabar Municipal, Cross River, Nigeria"
4371,"Gunmen invade another Zamfara community, kill three",2/8/17,Zamfara,3,"Chafe, Zamfara, Nigeria"
4372,Two die in communal clash in Edo communities ,2/8/17,Edo,2,"Uhunmwonde, Edo, Nigeria"
4373,"Military kills over 30 Boko Haram insurgents, loses 7 soldiers in Borno; female soldier kidnapped",2/9/17,Borno,37,"Dikwa, Borno, Nigeria"
4374,"Gunmen kill 3, abduct one in Lagos",2/9/17,Lagos,3,"Lagos State, Lagos, Nigeria"
4375,"Boko Haram burns down village, abducts five-year-old boy",2/9/17,Borno,1,"Chibok, Borno, Nigeria"
4376,High Court Registrar kidnapped in Delta,2/9/17,Delta,0,"Ndokwa West, Delta, Nigeria"
4377,"Gunmen attack Kogi police station, kill two policemen, detainee, 1 other",2/10/17,Kogi,4,"Okehi, Kogi, Nigeria"
4378,Herdsman beheaded in Ekiti by suspected ritualists,2/10/17,Ekiti,1,"Oye, Ekiti, Nigeria"
4379,Eight soldiers killed in Boko Haram ambush,2/10/17,Borno,8,"Mafa, Borno, Nigeria"
4380,"Suspected cultists attack Edo police station, free detainees",2/2/17,Edo,1,"Akoko-Edo, Edo, Nigeria"
4381,Hoodlums attack corps member in Cross River,2/12/17,Cross River,0,"Obubra, Cross River, Nigeria"
4382,"Gunmen kill ex-oil worker, injure son",2/10/17,Edo,1,"Oredo, Edo, Nigeria"
4383,Again Boko Haram sets ablaze Borno village,2/10/17,Borno,1,"Askira/Uba, Borno, Nigeria"
4384,"20 feared dead in renewed clash between A-Ibom, C-River communities",2/10/17,Cross River,20,"Odukpani, Cross River, Nigeria"
4385,"Agatu youths kill soldier, injure two others",2/11/17,Benue,1,"Agatu, Benue, Nigeria"
4386,Police kill 3 kidnap suspects in Port Harcourt,2/11/17,Rivers,3,"Port Harcourt, Rivers, Nigeria"
4387,"FRSC official, wife abducted in Ekiti",2/11/17,Ekiti,0,"Ekiti South-West, Ekiti, Nigeria"
4388,"Soldiers invaded IPOB meeting, killed 5, injured 20",2/12/17,Delta,5,"Oshimili North, Delta, Nigeria"
4389,Former DSS Official Kidnapped,2/12/17,Kogi,0,"Okene, Kogi, Nigeria"
4390,3 die in NURTW/tricyclists clash in Lagos,2/13/17,Lagos,3,"Lagos State, Lagos, Nigeria"
4391,"Boko Haram terrorists kill Islamic scholar, injure boy in Borno village",2/13/17,Borno,1,"Chibok, Borno, Nigeria"
4392,"Ex-militant leader, hoodlums attack, wound protesters in Bayelsa",2/14/17,Bayelsa,0,"Yenagoa, Bayelsa, Nigeria"
4393,"2 OPC members, 5 farmers kidnapped in Lagos",2/14/17,Lagos,0,"Lagos State, Lagos, Nigeria"
4394,"Soldiers sack Agatu villages, kill pregnant woman, five others",2/14/17,Benue,6,"Agatu, Benue, Nigeria"
4395,"Boko Haram attacks NAF helicopter, troops kill scores",2/15/17,Borno,40,"Gwoza, Borno, Nigeria"
4396,"Gunmen kill 27-yr-old undergraduate, watchman in Jigawa",2/15/17,Jigawa,2,"Kafin Hausa, Jigawa, Nigeria"
4397,Cultists behead five persons in Rivers community,2/15/17,Rivers,5,"Emuoha, Rivers, Nigeria"
4398,"Suicide bombers attack Maiduguri, ‘11 Killed’",2/16/17,Borno,11,"Maiduguri, Borno, Nigeria"
4399,Police confirm abduction of Catholic priest,2/15/17,Akwa Ibom,0,"Ukanafun, Akwa Ibom, Nigeria"
4400,Two robbers burnt to death in Calabar,2/16/17,Cross River,2,"Calabar Municipal, Cross River, Nigeria"
4401,Gunmen kidnap Delta NUT treasurer,2/16/17,Delta,0,"Ughelli South, Delta, Nigeria"
4402,Landmine kills 4 Cameroonian soldiers,2/16/17,,4,", , Nigeria"
4403,Angry youths kill three after eight die in boat accident,2/17/17,Benue,3,"Guma, Benue, Nigeria"
4404,"Gunmen attack Kaduna village, kill 9",2/19/17,Kaduna,9,"Jema'a, Kaduna, Nigeria"
4405,Dozens killed as Suspected cattle rustlers invade Zamfara,2/18/17,Zamfara,24,"Chafe, Zamfara, Nigeria"
4406,Suspected herdsmen kill 17 in fresh Kaduna attack,2/20/17,Kaduna,17,"Kaura, Kaduna, Nigeria"
4407,"Boko Haram kills four in Borno, burns houses",2/19/17,Borno,4,"Askira/Uba, Borno, Nigeria"
4408,"Warring kidnappers, policemen in gun battle",2/20/17,Lagos,0,"Epe, Lagos, Nigeria"
4409,Two Germans kidnapped in Kaduna; two others killed,2/22/17,Kaduna,2,"Kagarko, Kaduna, Nigeria"
4410,Gunmen abduct two dredgers in Lagos,2/21/17,Lagos,0,"Ibeju-Lekki, Lagos, Nigeria"
4411,‘Terrorists’ kill 15 soldiers in Niger,2/22/17,,15,", , Nigeria"
