,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Items,Agric eggs medium size,Agric eggs(medium size price of one),Beans brown,Beans white,Beef Bone in,Beef boneless,Bread sliced 500g,Bread unsliced 500g,Ofada,Chicken Feet,Chicken Wings,Evaporated tinned milk carnation 170g,"Evaporated tinned milk(peak), 170g",Frozen chicken,"Gari white,sold loose","Gari yellow,sold loose",Mudfish (aro) fresh,Mudfish dried,Onion bulb,Rice agric sold loose,Rice local sold loose,Rice Medium Grained,Rice imported,Tomato,Yam tuber,Dried Fish Sardine,Iced Sardine,Irish potato,Sweet potato,Tilapia fresh,Titus frozen,Catfish fresh,Catfish dried,Catfish Smoked,Mackerel frozen,Groundnut bottle,Maize grain white sold loose,Maize grain yellow sold loose,"Palm oil: 1 bottle,specify bottle",Plantain ripe,Plantain unripe,Vegetable bottle,Wheat flour: prepacked (golden penny 2kg)
Edo,797.88375,67.905,600.277777777778,567.376493668628,1622.10852866009,2441.03625434395,582.461538461538,470.166666666667,567.362871,1110.0,2075.0,273.0,301.615384615385,2507.6923076923076,319.2307692307692,347.57575757575756,1816.41025641026,2184.4444444444,673.570273570274,617.142857142857,520.428571428571,587.6923076923077,720.923076923077,660.7100591716,476.103270870477,2252.79581529581,2056.6239316239316,749.7756142492987,339.576363206723,1998.953427524856,2294.81074481075,1755.08355718882,3042.55189255189,2329.4372294372297,2000.65476190476,1100.0,326.3247863247864,331.01851851851853,901.02564102564,455.683516161777,272.60746898502,1088.888888888889,1025.0
Adamawa,429.518,43.85,337.846967846968,254.809424809425,1092.5,1290.2125,270.4,268.75,373.618538324421,345.45,495.745,147.2,178.461538461538,1493.15,252.024024526198,251.515417447844,727.76,1320.15,157.5,365.102599179207,362.273658970492,317.843137254902,449.433962264151,187.5,128.160599816849,1432.5,982.12,188.67924528301887,140.875,459.166666666667,843.333333333333,816.666666666667,1346.141,1358.2,999.23,555.555555555556,162.068519715579,156.384008148714,545.641025641026,177.2,171.185,535.794871794872,753.333333333333
Bauchi,424.86443999999995,44.2458,234.51999999999967,240.0,977.6433333333366,1273.999999999997,246.91333333333364,245.580335,370.419285714286,315.33501999999993,518.39788,144.36422,188.93874999999997,1512.796285,233.19592592592593,246.91333333333364,724.5237999999998,1296.182681992338,136.5499249249245,411.925009746588,360.133390804597,359.063703703704,431.058936170212,133.391111111111,127.47556766325378,1346.3650199999997,862.9621,183.91388888888912,122.6544582151081,448.57312499999995,967.6333333333366,828.0999999999997,1392.9299999999985,1393.5171249999999,912.0711599999998,522.407777777778,165.18068965517216,164.63585185185136,482.694444444444,180.17999999999998,180.17999999999998,559.0770370370375,795.9226275
Borno,413.3133333333337,42.0,252.92923076923086,257.9235164835166,1052.742857142857,1269.4977777777733,250.26760000000002,243.723333333333,444.7923438982946,313.973,511.69756,148.42666666666702,178.7445,1518.0,226.7874293405117,238.15446192259634,781.6211764705886,1357.415311355316,136.11746374289314,380.0,348.76140760063385,411.14447547440005,405.44595744680805,144.04241452991482,130.0412680988482,1440.41333333333,974.8933333333331,188.62974231678473,126.5121693121693,472.3172408963582,950.1123076923079,766.3599999999998,1473.8253968254005,1351.4092307692354,985.3013008130084,549.853333333333,168.3259259259256,161.26833333333371,523.9911111111114,186.1820512820513,193.64230769230787,566.045333333333,732.013333333333
Gombe,417.68931999999995,44.00662499999999,315.2285714285711,281.365585063085,1210.827555,1251.9471075,248.24249999999998,254.51124999999996,410.603125,343.04605999999995,546.74533,147.9425,178.78474999999997,1400.0,238.7427942583729,248.74377935434188,801.1462499999999,1300.0,206.5454785793917,389.7371428571433,349.3118465909086,339.76624999999996,439.20929853723436,154.47975108225083,127.26610785953204,1356.0860899999998,1013.2055249999999,196.39940170940187,129.80130175866987,551.8104799999999,948.5872499999999,759.5445454545451,1379.5107692307738,1366.9385499999999,949.50666666667,538.7542857142855,175.56234298109268,176.301993783994,495.3215199999999,137.30066999999997,172.40566999999996,525.3809523809525,777.4453599999999
Benue,460.29538461538414,44.34333333333337,341.8462678062673,350.7834416447752,1195.4771428571473,1379.7828571428527,335.7822222222218,264.805,345.0,441.88048000000003,562.3705199999999,145.5298,173.52466666666632,1562.49006,249.0263417877144,273.0240252145517,846.7066666666633,1345.6365840220346,131.80616993464054,442.16159999999996,385.4085079365081,391.9616,489.96487179487127,151.1148717948713,129.40980769230794,1403.3688888888912,976.0314285714314,188.40285256410297,170.20715855572976,681.0466666666633,947.1066666666633,818.4105999999999,1388.2923314780508,1329.547,964.0408000000001,538.8133333333367,239.51215824107774,269.4587630936704,470.76444444444553,184.19538461538414,188.64170880557992,549.461818181821,799.32707
Taraba,449.13664,41.42947368421,269.3353113553116,356.0797802197803,981.0489993330699,1311.15333333333,281.344666666667,282.16288000000003,401.84970940170996,307.04125999999997,503.0,147.05708,181.3315,1368.4115,236.8795927318297,247.94865741941044,795.8577777777766,1313.029324009319,155.95012,385.9381818181822,381.4522005032008,446.03022,423.162127659574,129.22276531549304,126.07712413133063,1343.7645,925.64575,179.4704,144.351070435617,451.861666666667,935.8315,758.3106060606061,1335.9901098901119,1373.5769230769276,928.873333333333,542.1222222222224,164.59288062814332,165.30409090909112,501.323333333334,179.7678260869565,181.499166666667,536.5333333333341,802.7377
Yobe,452.52062499999994,41.927818181818544,255.86020408163242,288.93489177489187,1004.5505405405429,1285.6993164488056,258.04375,247.0171,388.6240229885058,344.8975,520.2833333333335,146.16604999999998,174.46274999999997,1649.59691,251.05069444444487,248.87158066879195,806.5314749999999,1357.252182539682,149.8416,356.0893061751462,341.06771940870755,349.38648005091966,446.14423881546,134.37564935064887,151.5105177418713,1372.6568049999998,970.1421216666632,172.7079034243675,141.78225887345633,469.9333333333336,1000.2866666666632,736.9409090909091,1394.6304487179511,1445.4323076923122,926.5406999999999,538.5924242424243,179.68050268696854,181.8811240060174,505.1783333333336,181.26,194.68666666666667,540.4233333333336,703.6412499999999
Kogi,444.73233,43.7962,339.212557471264,348.3673529411769,1196.268181818181,1336.14572,274.7056375,280.48730769230747,418.103035,514.193505,622.920585,146.25519999999997,178.049634,2009.36162,261.84754923276853,271.4212379227055,769.0005555555599,1391.2324999999998,143.08106753812686,389.8416666666666,343.0502146888534,338.406005,518.9058119658124,138.8883760683758,144.02757352941128,1355.2714,956.294045,177.67595999999998,158.65948717948723,551.9966666666671,969.9005555555599,772.5910849999999,1352.7266666666699,1357.5099999999984,982.72244,502.25,249.94641426282035,256.12172909134205,525.688333333333,176.14831178160935,179.972916666667,547.61322,713.32809625
Kwara,438.16888888888934,42.755,362.5052856854429,365.1693960200673,1196.617402597403,1274.2192883307116,267.98834,267.9481,387.57156,444.82302000000004,657.2533333333299,147.1275,183.595,1509.28168,232.00451894379333,238.23909090909112,784.85102,1432.1013599999999,155.90609031491346,442.93588235294135,450.76727892034,402.92947368421085,472.0714880952377,138.55363636363666,154.73405594405614,1368.4115,963.76812,178.43925,166.66711538461544,592.94646,977.4966666666701,793.96538,1445.73266,1392.8527272727226,958.59728,558.66533333333,207.84832112332117,206.54322344322313,449.34666666666703,187.6127012522359,181.42204,539.8866666666701,704.313175
